Field Name,Data Type,Description,Category,Required,Default Value,Notes
id,uuid,Primary Key,Basic,Yes,gen_random_uuid(),Auto-generated
first_name,text,User's first name,Profile,Yes,,From signup form
last_name,text,User's last name,Profile,Yes,,From signup form
email,text,User's email address,Profile,Yes,,Unique identifier
phone,text,User's phone number,Profile,Yes,,From signup form
company,text,User's company name,Profile,No,,From signup form
country,text,User's country,Profile,No,United States,From signup form
language,text,User's preferred language,Profile,No,English,From dashboard settings
bio,text,User's biography,Profile,No,,From dashboard settings
password_hash,text,Encrypted password,Authentication,Yes,,Hashed password for security
agree_to_terms,boolean,Agreed to terms of service,Authentication,Yes,false,From signup form
agree_to_marketing,boolean,Agreed to marketing communications,Authentication,No,false,From signup form
status,text,User account status,Status,No,PENDING,PENDING/PROCESSING/COMPLETED/REJECTED/ACTIVE
membership_tier,text,User's membership level,Status,No,,free/premium/kickstarter
account_type,text,Account type,Status,No,,personal/business
setup_complete,boolean,Whether setup is complete,Status,No,false,From user context
is_temporary,boolean,Whether account is temporary,Status,No,false,From user context
unique_id,text,Unique identifier,Status,No,,From user context
token,text,Authentication token,Status,No,,From user context
selected_plan,jsonb,Selected membership plan,Status,No,,JSON object
trading_experience_signup,text,Trading experience from signup,Signup,No,,beginner/intermediate/advanced
trading_goals_signup,text,Trading goals from signup,Signup,No,,Free text description
risk_tolerance_signup,text,Risk tolerance from signup,Signup,No,,conservative/moderate/aggressive
preferred_markets,text,Preferred trading markets,Signup,No,,From signup form
trading_style,text,Trading style preference,Signup,No,,From signup form
trades_per_day,text,Number of trades per day,Questionnaire,No,,1-2/3-5/6-10/10+
trading_session,text,Preferred trading session,Questionnaire,No,,asian/european/us/any
has_account,text,Whether user has existing account,Questionnaire,No,,yes/no
account_equity,numeric,Current account equity,Questionnaire,No,,If has_account equals yes
prop_firm,text,Selected prop firm,Questionnaire,No,,From questionnaire
account_type_questionnaire,text,Account type from prop firm,Questionnaire,No,,From questionnaire
account_size,numeric,Account size in USD,Questionnaire,No,,From questionnaire
risk_percentage,numeric,Risk per trade percentage,Questionnaire,No,,0.5 to 2.5 percent
risk_reward_ratio,text,Preferred risk:reward ratio,Questionnaire,No,,1/2/3/4
crypto_assets,text[],Array of crypto symbols,Questionnaire,No,,BTC ETH etc
forex_assets,text[],Array of forex pairs,Questionnaire,No,,EURUSD GBPUSD etc
account_screenshot,text,Base64 encoded screenshot,Questionnaire,No,,Account verification
screenshot_url,text,URL to stored screenshot,Questionnaire,No,,If stored externally
trading_experience,text,User's trading experience,Questionnaire,No,,beginner/intermediate/advanced
risk_tolerance,text,User's risk tolerance,Questionnaire,No,,conservative/moderate/aggressive
trading_goals,text,User's trading goals,Questionnaire,No,,Free text description
plan_name,text,Risk management plan name,Risk Management,No,,Conservative/Balanced/Aggressive/Custom
plan_description,text,Risk management plan description,Risk Management,No,,Plan details
is_active,boolean,Whether plan is active,Risk Management,No,true,Plan status
version,text,Plan version,Risk Management,No,1.0,Version control
max_risk_per_trade,numeric,Maximum risk per trade,Risk Management,No,,0.1 to 5.0 percent
max_daily_loss,numeric,Maximum daily loss,Risk Management,No,,1 to 10 percent
max_weekly_loss,numeric,Maximum weekly loss,Risk Management,No,,5 to 20 percent
